fiscal_year,grant_id,provider_name,provider_name_latest,responses_total,q1_1,q1_2,q1_3,q1_4,q1_5,top_2_count,top_2_pct
2019,12-CA-018,Volunteers of America of Greater Sacramento and Northern Nevada Inc.,Volunteers of America of Greater Sacramento and Northern Nevada Inc,40,2,2,3,10,23,33,82.5
2019,12-CT-021,Community Renewal Team Inc.,Community Renewal Team Inc,11,1,1,1,2,6,8,72.7
2019,12-FL-024,Advocate Program Inc.,Advocate Program Inc,26,4,2,3,3,14,17,65.4
2019,12-FL-028,Jewish Family & Childrens Service Of The Suncoast Inc,Jewish Family & Childrens Service Of The Suncoast Inc,47,5,4,9,9,20,29,61.7
2019,12-GA-029,Central Savannah River Area Economic Opportunity Authority Inc. (CSRA EOA),Central Savannah River Area Economic Opportunity Authority Inc (CSRA EOA),16,0,0,5,3,8,11,68.8
2019,12-ID-032,El-Ada Inc.,El-Ada Inc,6,1,1,1,2,1,3,50.0
2019,12-IL-033,Thresholds,Thresholds,25,2,1,5,6,11,17,68.0
2019,12-IN-035,United Way of Central Indiana Inc.,United Way of Central Indiana Inc.,65,3,4,9,10,39,49,75.4
2019,12-LA-038,Volunteers of America of Greater New Orleans,Volunteers of America of Greater New Orleans,51,2,1,11,13,24,37,72.5
2019,12-LA-039,Wellspring Alliance for Families Inc.,Wellspring Alliance for Families Inc.,10,2,1,2,2,3,5,50.0
2019,12-MA-040,Volunteers of America of Massachusetts Inc.,Volunteers of America of Massachusetts Inc,22,1,2,4,6,9,15,68.2
2019,12-MD-042,Alliance Inc,Alliance Inc,110,12,8,21,23,46,69,62.7
2019,12-ME-043,Preble Street,Preble Street,50,1,0,7,11,31,42,84.0
2019,12-MI-044,Wayne Metropolitan Community Action Agency,Wayne Metropolitan Community Action Agency,8,0,1,0,3,4,7,87.5
2019,12-MI-045,Southwest Counseling Solutions,Southwest Counseling Solutions,21,3,3,6,3,6,9,42.9
2019,12-NC-049,United Way of Forsyth County Inc.,United Way of Forsyth County Inc.,13,1,1,1,0,10,10,76.9
2019,12-NC-050,Passage Home Inc.,Passage Home Inc,10,0,0,3,2,5,7,70.0
2019,12-ND-051,Community Action Partnership of North Dakota,Community Action Partnership of North Dakota,15,0,0,3,3,9,12,80.0
2019,12-NJ-053,Catholic Charities Dioceses of Camden Inc.,Catholic Charities Dioceses of Camden Inc,37,0,1,2,3,31,34,91.9
2019,12-NM-055,Goodwill Industries of New Mexico,Goodwill Industries of New Mexico,45,7,3,8,4,23,27,60.0
2019,12-NY-060,HELP Social Service Corporation,HELP Social Service Corporation,61,10,6,11,15,19,34,55.7
2019,12-NY-063,Westchester Community Opportunity Program Inc. (WestCOP),Westchester Community Opportunity Program Inc. (WestCOP),44,1,1,3,11,28,39,88.6
2019,12-OH-064,Mental Health Services for Homeless Persons Inc.  d.b.a  FrontLine Service ,Mental Health Services for Homeless Persons Inc  dba  FrontLine Service ,27,1,3,5,4,14,18,66.7
2019,12-OK-065,Community Service Council of Greater Tulsa Inc.,Community Service Council of Greater Tulsa Inc.,45,5,4,8,11,17,28,62.2
2019,12-TX-071,Families in Crisis Inc.,Families in Crisis Inc,13,0,1,1,5,6,11,84.6
2019,12-TX-072,Caritas of Austin,Caritas of Austin,10,1,0,1,0,8,8,80.0
2019,12-TX-075,Catholic Charities Diocese of Fort Worth Inc.,Catholic Charities Diocese of Fort Worth Inc.,16,0,1,2,4,9,13,81.3
2019,12-VA-077,Virginia Supportive Housing,Virginia Supportive Housing,12,1,1,3,1,6,7,58.3
2019,12-ZZ-026,Northwest Florida Comprehensive Services For Children Inc,Northwest Florida Comprehensive Services For Children Inc,64,1,0,4,12,47,59,92.2
2019,12-ZZ-031,Humility of Mary Shelter Inc.,Humility of Mary Shelter Inc,21,1,2,6,3,9,12,57.1
2019,12-ZZ-041,Veterans Inc.,Veterans Inc,43,1,4,9,8,21,29,67.4
2019,13-CA-090,California Veterans Assistance Foundation Inc.,California Veterans Assistance Foundation Inc,15,0,0,2,2,11,13,86.7
2019,13-CT-093,The Workplace Inc.,The Workplace Inc,30,0,3,4,7,16,23,76.7
2019,13-DE-095,Connections Community Support Programs Inc.,Connections Community Support Programs Inc.,29,3,0,4,9,13,22,75.9
2019,13-FL-096,Faith Hope Love Charity Inc.,Faith Hope Love Charity Inc,85,7,4,12,18,44,62,72.9
2019,13-IA-103,Primary Health Care Inc.,Primary Health Care Inc,15,1,1,0,5,8,13,86.7
2019,13-IL-104,The Salvation Army an Illinois Corporation,The Salvation Army an Illinois Corporation,32,2,1,7,6,16,22,68.8
2019,13-IL-105,Heartland Human Care Services Inc.,Heartland Human Care Services Inc,17,1,1,4,1,10,11,64.7
2019,13-IN-106,Community Action of Northeast Indiana Inc. (dba Brightpoint) ,Community Action of Northeast Indiana Inc (dba Brightpoint) ,18,0,3,2,2,11,13,72.2
2019,13-MD-107,Three Oaks Homeless Shelter Inc.,Three Oaks Homeless Shelter Inc,17,6,0,2,3,6,9,52.9
2019,13-MI-108,Northwest Michigan Community Action Agency Inc.,Northwest Michigan Community Action Agency Inc,12,1,1,3,0,7,7,58.3
2019,13-MO-110,Catholic Charities of Kansas City - St Joseph Inc.,Catholic Charities of Kansas City - St Joseph Inc,8,1,0,0,1,6,7,87.5
2019,13-NH-115,Harbor Homes Inc.,Harbor Homes Inc,16,0,2,2,5,7,12,75.0
2019,13-NV-117,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc (Sacramento Veterans Resource),82,5,2,9,18,48,66,80.5
2019,13-NY-119,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,Catholic Charities of the Roman Catholic Diocese of Syracuse NY,13,0,1,0,2,10,12,92.3
2019,13-NY-121,Soldier On of Delaware Inc.,Soldier On of Delaware Inc,58,4,5,12,11,26,37,63.8
2019,13-OH-124,Maumee Valley Guidance Center Inc.,Maumee Valley Guidance Center Inc.,6,1,0,0,1,4,5,83.3
2019,13-OR-125,Community Action Team Inc.,Community Action Team Inc,14,0,1,2,6,5,11,78.6
2019,13-OR-126,Central Oregon Veterans Outreach,Central Oregon Veterans Outreach,12,2,0,1,1,8,9,75.0
2019,13-PA-129,Veterans Leadership Program of Western Pennsylvania Inc.,Veterans Leadership Program of Western Pennsylvania Inc,68,2,5,9,16,36,52,76.5
2019,13-PA-130,Opportunity House,Opportunity House,23,0,0,3,5,15,20,87.0
2019,13-SD-136,Cornerstone Rescue Mission,Cornerstone Rescue Mission,32,0,0,2,7,23,30,93.8
2019,13-TN-139,West Tennessee Legal Services Inc.,West Tennessee Legal Services Inc.,4,1,0,1,0,2,2,50.0
2019,13-VA-144,Volunteers of America Chesapeake,Volunteers of America Chesapeake,18,1,2,2,4,9,13,72.2
2019,13-WA-148,YWCA of Seattle - King County - Snohomish County,YWCA of Seattle - King County - Snohomish County,40,6,0,6,14,14,28,70.0
2019,13-WI-151,Community Action Coalition for South Central Wisconsin Inc.,Community Action Coalition for South Central Wisconsin Inc.,10,0,1,1,6,2,8,80.0
2019,13-ZZ-133,Operation Stand Down Rhode Island,Operation Stand Down Rhode Island,37,1,2,4,10,20,30,81.1
2019,13-ZZ-134,The Alston Wilkes Society (AWS Alston Wilkes Veterans Home),The Alston Wilkes Society (AWS Alston Wilkes Veterans Home),15,2,1,7,0,5,5,33.3
2019,13-ZZ-145,University of Vermont and State Agricultural College,University of Vermont and State Agricultural College,16,2,0,3,2,9,11,68.8
2019,14-AK-152,Fairbanks Rescue Mission Inc.,Fairbanks Rescue Mission Inc.,4,0,0,0,1,3,4,100.0
2019,14-AZ-157,National Community Health Partners,National Community Health Partners,107,3,3,8,22,71,93,86.9
2019,14-AZ-160,Catholic Charities Community Services Inc.,Catholic Charities Community Services Inc,16,1,2,0,5,8,13,81.3
2019,14-CA-163,Carrillo Counseling Services Inc. (DBA New Beginnings),Carrillo Counseling Services Inc (DBA New Beginnings),11,0,0,2,1,8,9,81.8
2019,14-CA-167,East Oakland Community Project,East Oakland Community Project,18,1,2,4,5,6,11,61.1
2019,14-CA-169,Families in Transition of Santa Cruz County Inc.,Families in Transition of Santa Cruz County Inc,2,0,0,0,1,1,2,100.0
2019,14-CA-170,Knowledge Education for Your Success Inc.,Knowledge Education for Your Success Inc,7,1,2,1,1,2,3,42.9
2019,14-CA-177,Catholic Charities of the Diocese of Stockton,Catholic Charities of the Diocese of Stockton,17,0,0,6,3,8,11,64.7
2019,14-CT-178,Columbus House Inc.,Columbus House Inc,31,0,1,7,8,15,23,74.2
2019,14-FL-179,Big Bend Homeless Coalition Inc.,Big Bend Homeless Coalition Inc,30,0,1,4,8,17,25,83.3
2019,14-FL-181,United Way of Broward County,United Way of Broward County,45,4,3,12,5,21,26,57.8
2019,14-FL-182,Community Coalition on Homelessness Corporation,Community Coalition on Homelessness Corporation,3,0,0,0,0,3,3,100.0
2019,14-FL-184,Meridian Behavioral Healthcare Inc.,Meridian Behavioral Healthcare Inc,45,3,2,5,3,32,35,77.8
2019,14-FL-322,Treasure Coast Homeless Services Council Inc.,Treasure Coast Homeless Services Council Inc,15,1,1,1,3,9,12,80.0
2019,14-GA-189,United Way of Greater Atlanta Inc.,United Way of Greater Atlanta Inc,92,9,10,28,15,30,45,48.9
2019,14-IA-191,Family Alliance For Veterans of America Inc.,Family Alliance For Veterans of America Inc,14,0,0,3,5,6,11,78.6
2019,14-IL-194,Featherfist Inc.,Featherfist Inc,37,1,4,9,13,10,23,62.2
2019,14-IL-196,Midwest Shelter for Homeless Veterans Inc.,Midwest Shelter for Homeless Veterans Inc,14,0,2,1,3,8,11,78.6
2019,14-IL-197,Chestnut Health Systems Inc.,Chestnut Health Systems Inc,42,1,0,3,12,26,38,90.5
2019,14-IL-198,Catholic Charities of the Archdiocese of Chicago,Catholic Charities of the Archdiocese of Chicago,30,0,1,4,7,18,25,83.3
2019,14-IN-199,Lafayette Transitional Housing Center Inc.,Lafayette Transitional Housing Center Inc,21,0,0,0,5,16,21,100.0
2019,14-IN-200,InteCare Inc.,InteCare Inc,49,1,5,3,9,31,40,81.6
2019,14-KS-322,Catholic Charities Inc. (Diocese of Wichita),Catholic Charities Inc. (Diocese of Wichita),8,2,0,2,1,3,4,50.0
2019,14-KY-204,Kentucky River Foothills Development Council Inc.,Kentucky River Foothills Development Council Inc.,46,1,1,1,7,36,43,93.5
2019,14-LA-205,Hope Center Inc.,Hope Center Inc.,25,2,2,6,8,7,15,60.0
2019,14-LA-207,Elle Foundation,Elle Foundation,8,0,1,1,4,2,6,75.0
2019,14-LA-208,Start Corporation,Start Corporation,24,1,0,1,6,16,22,91.7
2019,14-MA-209,Veterans Northeast Outreach Center Inc.,Veterans Northeast Outreach Center Inc,27,1,3,3,6,14,20,74.1
2019,14-MA-211,Vietnam Veterans Workshop Inc.,Vietnam Veterans Workshop Inc.,22,2,0,4,3,13,16,72.7
2019,14-MD-214,Project PLASE Inc.,Project PLASE Inc,60,3,5,20,10,22,32,53.3
2019,14-MD-215,New Vision House of Hope Inc.,New Vision House of Hope Inc,33,2,2,6,5,18,23,69.7
2019,14-MD-216,Diakonia Inc.,Diakonia Inc.,7,1,0,1,1,4,5,71.4
2019,14-MD-217,St. James A.M.E. Zion Church-Zion House,St. James A.M.E. Zion Church-Zion House,15,0,0,2,1,12,13,86.7
2019,14-MI-218,Blue Water Center For Independent Living Inc.,Blue Water Center For Independent Living Inc.,14,0,3,1,2,8,10,71.4
2019,14-MI-219,Training & Treatment Innovations Inc.,Training & Treatment Innovations Inc.,45,6,3,12,8,16,24,53.3
2019,14-MI-220,Community Action Agency,Community Action Agency,28,1,0,1,4,22,26,92.9
2019,14-MI-221,Oakland Livingston Human Services Agency,Oakland Livingston Human Services Agency,3,1,0,1,1,0,1,33.3
2019,14-MI-222,Mid Michigan Community Action Agency Inc.,Mid Michigan Community Action Agency Inc.,5,0,0,0,1,4,5,100.0
2019,14-MI-223,Community Rebuilders,Community Rebuilders,8,0,0,1,2,5,7,87.5
2019,14-MI-226,Volunteers of America Michigan Inc.,Volunteers of America Michigan Inc.,41,0,3,11,12,15,27,65.9
2019,14-MO-228,The Kitchen Inc.,The Kitchen Inc,13,0,1,5,2,5,7,53.8
2019,14-MS-232,Hancock Resource Center (HRC),Hancock Resource Center (HRC),3,0,0,0,3,0,3,100.0
2019,14-MS-234,Catholic Charities Inc.  (Diocese of Jackson),Catholic Charities Inc  (Diocese of Jackson),1,1,0,0,0,0,0,0.0
2019,14-NE-238,Northeast Nebraska Community Action Partnership,Northeast Nebraska Community Action Partnership,3,0,0,0,0,3,3,100.0
2019,14-NJ-242,Catholic Family and Community Service,Catholic Family and Community Service,32,2,3,6,11,10,21,65.6
2019,14-NM-246,New Mexico Veterans Integration Centers,New Mexico Veterans Integration Centers,18,3,1,2,2,10,12,66.7
2019,14-NM-247,Mesilla Valley Community of Hope,Mesilla Valley Community of Hope,14,2,0,3,2,7,9,64.3
2019,14-NY-249,Utica Center for Development Inc.,Utica Center for Development Inc.,5,0,0,0,1,4,5,100.0
2019,14-NY-250,The Jericho Project,The Jericho Project,43,4,1,9,6,23,29,67.4
2019,14-NY-251,Veterans and Community Housing Coalition ,Veterans and Community Housing Coalition ,20,0,0,1,0,19,19,95.0
2019,14-NY-253,Pathstone Corporation,Pathstone Corporation,23,0,0,0,7,16,23,100.0
2019,14-NY-254,Economic Opportunity Council of Suffolk Inc.,Economic Opportunity Council of Suffolk Inc,51,1,1,7,9,33,42,82.4
2019,14-NY-256,Albany Housing Coalition Inc.,Albany Housing Coalition Inc,10,0,1,4,3,2,5,50.0
2019,14-NY-259,Volunteers of America-Greater New York Inc.,Volunteers of America-Greater New York Inc,26,4,3,5,5,9,14,53.8
2019,14-OH-261,Licking County Coalition for Housing,Licking County Coalition for Housing,9,0,0,1,2,6,8,88.9
2019,14-OH-262,Family & Community Services Inc.,Family & Community Services Inc,27,1,1,1,5,19,24,88.9
2019,14-OH-264,Community Action Agency of Columbiana County Inc.,Community Action Agency of Columbiana County Inc,15,0,1,1,4,9,13,86.7
2019,14-OH-265,Community Action Program Corporation of Washington-Morgan Counties Ohio,Community Action Program Corporation of Washington-Morgan Counties Ohio,22,0,2,3,3,14,17,77.3
2019,14-OH-266,Faith Mission Inc.,Faith Mission Inc.,6,2,0,0,2,2,4,66.7
2019,14-OH-267,Community Support Services Inc.,Community Support Services Inc,5,1,0,1,0,3,3,60.0
2019,14-OH-268,The Salvation Army a New York Corporation,The Salvation Army a New York Corporation,16,0,0,1,3,12,15,93.8
2019,14-OK-270,KI BOIS Community Action Foundation Inc.,KI BOIS Community Action Foundation Inc,56,2,1,2,7,44,51,91.1
2019,14-OK-271,Goodwill Industries of Central Oklahoma Inc.,Goodwill Industries of Central Oklahoma Inc,50,3,6,11,11,19,30,60.0
2019,14-OR-272,Easter Seals Oregon,Easter Seals Oregon,34,0,1,3,5,25,30,88.2
2019,14-PA-273,YWCA of Greater Harrisburg,YWCA of Greater Harrisburg,15,0,2,1,2,10,12,80.0
2019,14-PA-274,Utility Emergency Services Fund,Utility Emergency Services Fund,56,5,3,8,11,29,40,71.4
2019,14-PA-276,Community Action Agency of Delaware County Inc.,Community Action Agency of Delaware County Inc.,18,2,2,7,6,1,7,38.9
2019,14-PA-277,Lawrence County Social Services Inc.,Lawrence County Social Services Inc.,35,1,1,1,6,26,32,91.4
2019,14-PA-280,Soldier On of Delaware Inc.,Soldier On of Delaware Inc.,41,4,0,8,10,19,29,70.7
2019,14-PA-281,Catholic Charities of the Diocese of Allentown,Catholic Charities of the Diocese of Allentown,13,0,2,3,3,5,8,61.5
2019,14-PA-282,Volunteers of America of Pennsylvania Inc.,Volunteers of America of Pennsylvania Inc.,19,0,0,3,6,10,16,84.2
2019,14-TN-283,Memphis Area Legal Services Inc.,Memphis Area Legal Services Inc.,17,0,1,0,5,11,16,94.1
2019,14-TN-284,Volunteer Behavioral Health Care System,Volunteer Behavioral Health Care System,7,1,1,1,1,3,4,57.1
2019,14-TN-285,Operation Stand Down Tennessee,Operation Stand Down Tennessee,32,3,0,4,4,21,25,78.1
2019,14-TN-287,Catholic Charities Inc. (dba Catholic Charities of the Diocese of Memphis Inc.),Catholic Charities Inc (dba Catholic Charities of the Diocese of Memphis Inc),6,1,1,1,2,1,3,50.0
2019,14-TX-293,Sabine Valley Regional Mental Health Mental Retardation Center,Sabine Valley Regional Mental Health Mental Retardation Center,10,0,1,0,3,6,9,90.0
2019,14-VA-294,Total Action Against Poverty In Roanoke Valley,Total Action Against Poverty In Roanoke Valley,24,3,2,1,3,15,18,75.0
2019,14-VA-296,Hampton Roads Community Action Program Inc.,Hampton Roads Community Action Program Inc.,18,2,1,4,0,11,11,61.1
2019,14-VA-297,Virginia Beach Community Development Corporation,Virginia Beach Community Development Corporation,22,0,1,2,5,14,19,86.4
2019,14-VA-298,STOP Incorporated,STOP Incorporated,13,1,2,2,4,4,8,61.5
2019,14-VI-299,The Methodist Training and Outreach Center Inc.,The Methodist Training and Outreach Center Inc.,4,1,0,0,1,2,3,75.0
2019,14-WI-302,Indianhead Community Action Agency,Indianhead Community Action Agency,3,0,0,0,0,3,3,100.0
2019,14-WV-303,The Greater Wheeling Coalition for the Homeless Inc.,The Greater Wheeling Coalition for the Homeless Inc.,1,0,0,0,0,1,1,100.0
2019,14-WV-304,Helping Heroes Inc.,Helping Heroes Inc.,11,1,0,0,1,9,10,90.9
2019,14-WV-305,WVCAP,West Virginia Community Action Partnerships Inc,56,2,2,11,13,28,41,73.2
2019,14-ZZ-153,United Way of Central Alabama,United Way of Central Alabama,25,4,1,6,5,9,14,56.0
2019,14-ZZ-158,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc. (Sacramento Veterans Resource),104,6,5,14,21,58,79,76.0
2019,14-ZZ-260,St. Vincent de Paul Social Services Inc.,St. Vincent de Paul Social Services Inc.,35,1,1,1,8,24,32,91.4
2019,14-ZZ-308,Transitional Living Services Inc.,Transitional Living Services Inc,14,0,0,1,3,10,13,92.9
2019,14-ZZ-313,Housing Counseling Services Inc.,Housing Counseling Services Inc,36,5,1,7,7,16,23,63.9
2019,14-ZZ-318,Operation Renewed Hope,Operation Renewed Hope,17,6,2,2,3,4,7,41.2
2019,15-GA-325,Volunteers of America Southeast Inc.,Volunteers of America Southeast Inc,34,5,2,12,6,9,15,44.1
2019,15-GU-326,WestCare Pacific Islands Inc.,WestCare Pacific Islands Inc,17,2,0,3,0,12,12,70.6
2019,15-IA-192,Hawkeye Area Community Action Program Inc.,Hawkeye Area Community Action Program Inc,26,3,3,1,5,14,19,73.1
2019,15-IN-201,Volunteers of America of Indiana Inc.,Volunteers of America of Indiana Inc,43,1,2,2,11,27,38,88.4
2019,15-MI-328,Alger Marquette Community Action Board,Alger Marquette Community Action Board,2,0,0,0,0,2,2,100.0
2019,15-MO-330,Catholic Charities of Southern Missouri Inc.,Catholic Charities of Southern Missouri Inc,24,2,0,0,7,15,22,91.7
2019,15-OH-333,Lutheran Social Services of Central Ohio,Lutheran Social Services of Central Ohio,12,0,1,0,3,8,11,91.7
2019,15-PA-068,Commission on Economic Opportunity,Commission on Economic Opportunity,32,1,3,2,8,18,26,81.3
2019,15-PA-334,Veterans Multi-Service Center Inc.,Veterans Multi-Service Center Inc.,25,1,2,2,3,17,20,80.0
2019,15-TX-141,West Central Texas Regional Foundation,West Central Texas Regional Foundation,39,5,1,5,5,23,28,71.8
2019,15-UT-336,The Road Home,The Road Home,15,0,2,3,3,7,10,66.7
2019,16-MO-048,St. Patrick Center,St Patrick Center,73,2,2,7,18,44,62,84.9
2019,16-NJ-054,Community Hope Inc.,Community Hope Inc,47,2,2,7,9,27,36,76.6
2019,16-ZZ-037,Volunteers of America Mid-States Inc.,Volunteers of America Mid-States Inc,112,7,7,9,18,71,89,79.5
2019,16-ZZ-058,Soldier On Inc.,Soldier On Inc,54,5,5,11,13,20,33,61.1
2019,17-NE-052,Central Nebraska Community Services Inc.,Central Nebraska Community Services Inc.,12,2,0,1,3,6,9,75.0
2019,18-AR-086,St. Francis House Inc.,St. Francis House Inc.,41,0,3,3,7,28,35,85.4
2019,18-CA-006,Volunteers of America of Los Angeles Inc.,Volunteers of America of Los Angeles Inc,84,11,6,17,15,35,50,59.5
2019,18-CA-008,United States Veterans Initiative,United States Veterans Initiative,36,2,3,5,7,19,26,72.2
2019,18-CA-011,WestCare California Inc.,WestCare California Inc,101,8,8,18,18,49,67,66.3
2019,18-CA-019,Community Catalysts of California,Community Catalysts of California,59,9,8,14,17,11,28,47.5
2019,18-CA-091,Swords To Plowshares Veterans Rights Organization,Swords To Plowshares Veterans Rights Organization,79,3,4,14,16,42,58,73.4
2019,18-CA-171,Lighthouse Treatment Center,Lighthouse Treatment Center,17,0,2,3,4,8,12,70.6
2019,18-CA-176,Volunteers of America of Los Angeles Inc.,Volunteers of America of Los Angeles Inc.,49,6,7,7,8,21,29,59.2
2019,18-CA-354,United States Veterans Initiative,United States Veterans Initiative,47,1,3,3,10,30,40,85.1
2019,18-CA-358,Community Action Partnership of San Luis Obispo County Inc.,Community Action Partnership of San Luis Obispo County Inc,23,2,2,0,3,16,19,82.6
2019,18-CA-359,Good Samaritan Shelter,Good Samaritan Shelter,6,0,1,0,2,3,5,83.3
2019,18-CA-419,The Salvation Army a California Corporation,The Salvation Army a California Corporation,29,7,3,6,6,7,13,44.8
2019,18-CA-420,Volunteers of America Southwest California Inc.,Volunteers of America Southwest California Inc,11,2,1,1,3,4,7,63.6
2019,18-CA-437,Berkeley Food and Housing Project,Berkeley Food and Housing Project,57,9,4,8,15,21,36,63.2
2019,18-CO-020,Rocky Mountain Human Services,Rocky Mountain Human Services,128,13,11,24,27,53,80,62.5
2019,18-CO-439,Volunteers of America Colorado Branch Inc.,Volunteers of America Colorado Branch Inc.,34,5,4,3,7,15,22,64.7
2019,18-FL-023,Homeless Services Network of Central Florida Inc.,Homeless Services Network of Central Florida Inc,88,8,9,11,18,42,60,68.2
2019,18-FL-187,Volunteers of America of Florida Inc.,Volunteers of America of Florida Inc,74,3,4,5,14,48,62,83.8
2019,18-FL-362,Tampa Crossroads Inc.,Tampa Crossroads Inc,69,2,8,9,18,32,50,72.5
2019,18-GA-369,Project Community Connections Inc.,Project Community Connections Inc.,23,2,2,3,2,14,16,69.6
2019,18-GA-438,Northwest Florida Comprehensive Services For Children Inc,Northwest Florida Comprehensive Services For Children Inc,141,3,1,5,18,114,132,93.6
2019,18-HI-190,United States Veterans Initiative,United States Veterans Initiative,47,3,1,7,6,30,36,76.6
2019,18-HI-374,Catholic Charities Hawaii,Catholic Charities Hawaii,14,2,1,2,1,8,9,64.3
2019,18-KY-379,Volunteers of America Mid-States Inc.,Volunteers of America Mid-States Inc,19,1,1,2,2,13,15,78.9
2019,18-MI-383,Volunteers of America Michigan Inc.,Volunteers of America Michigan Inc,4,0,0,1,1,2,3,75.0
2019,18-NC-387,Homeward Bound of Western North Carolina Inc.,Homeward Bound of Western North Carolina Inc,14,1,3,0,2,8,10,71.4
2019,18-NE-239,Blue Valley Community Action Inc.,Blue Valley Community Action Inc.,11,0,0,3,3,5,8,72.7
2019,18-NY-062,Services for the UnderServed Inc.,Services for the UnderServed Inc.,58,6,3,8,15,26,41,70.7
2019,18-OR-066,St. Vincent de Paul Society of Lane County Inc.,St Vincent de Paul Society of Lane County Inc,50,0,0,5,15,30,45,90.0
2019,18-OR-430,Community Action Partnership of Oregon,Community Action Partnership of Oregon,12,1,2,1,2,6,8,66.7
2019,18-PR-132,Casa del Peregrino Aguadilla Inc.,Casa del Peregrino Aguadilla Inc.,8,0,0,1,2,5,7,87.5
2019,18-SC-069,One-Eighty Place ,One-Eighty Place ,27,2,0,3,8,14,22,81.5
2019,18-SC-402,Eastern Carolina Homelessness Organization Inc.,Eastern Carolina Homelessness Organization Inc.,26,1,1,3,6,15,21,80.8
2019,18-TX-074,Family Endeavors Inc.,Family Endeavors Inc,141,16,8,23,28,66,94,66.7
2019,18-TX-292,American GI Forum National Veterans Outreach Program Inc.,American GI Forum National Veterans Outreach Program Inc,107,7,7,14,24,55,79,73.8
2019,18-TX-404,Front Steps Inc.,Front Steps Inc.,6,0,1,0,0,5,5,83.3
2019,18-TX-433,Lubbock Mental Health and Retardation Center (dba Starcare),Lubbock Mental Health and Retardation Center (dba Starcare),49,2,0,3,15,29,44,89.8
2019,18-WI-080,Center For Veterans Issues Limited,Center For Veterans Issues Limited,67,1,13,7,22,24,46,68.7
2019,18-ZZ-034,Volunteers of America of Illinois,Volunteers of America of Illinois,14,0,2,6,3,3,6,42.9
2019,18-ZZ-036,The Salvation Army an Illinois Corporation,The Salvation Army an Illinois Corporation,29,3,0,4,6,16,22,75.9
2019,18-ZZ-113,Volunteers of America Northern Rockies,Volunteers of America Northern Rockies,218,1,6,9,26,176,202,92.7
2019,18-ZZ-386,Restart Inc,Restart Inc,53,2,1,5,10,35,45,84.9
2019,19-AZ-004,Primavera Foundation,Primavera Foundation,40,1,2,8,8,21,29,72.5
2019,19-AZ-159,United States Veterans Initiative,United States Veterans Initiative,21,1,3,5,5,7,12,57.1
2019,19-AZ-436,Community Bridges Inc.,Community Bridges Inc,65,8,6,3,17,31,48,73.8
2019,19-CA-005,Mental Health America of Los Angeles,Mental Health America of Los Angeles,48,4,3,6,10,25,35,72.9
2019,19-CA-009,Vietnam Veterans of California Inc. (Sacramento Veterans Resource),Vietnam Veterans of California Inc (Sacramento Veterans Resource),126,10,7,24,31,54,85,67.5
2019,19-CA-010,Homefirst Services Of Santa Clara County,Homefirst Services Of Santa Clara County,14,3,1,1,3,6,9,64.3
2019,19-CA-014,People Assisting the Homeless (PATH),People Assisting the Homeless (PATH),76,7,7,12,16,34,50,65.8
2019,19-CA-173,Vietnam Veterans of San Diego,Vietnam Veterans of San Diego,60,9,3,9,15,24,39,65.0
2019,19-FL-025,Purpose Built Families Foundation,Purpose Built Families Foundation,200,22,7,33,36,102,138,69.0
2019,19-FL-099,Society of St. Vincent de Paul South Pinellas Inc.,Society of St. Vincent de Paul South Pinellas Inc.,140,6,12,19,30,73,103,73.6
2019,19-GA-188,Travelers Aid of Metro Atlanta Inc.  ,Travelers Aid of Metro Atlanta Inc.  ,44,5,4,10,13,12,25,56.8
2019,19-MN-046,Minnesota Assistance Council for Veterans,Minnesota Assistance Council for Veterans,53,5,3,11,14,20,34,64.2
2019,19-MO-229,Phoenix Programs Inc.,Phoenix Programs Inc,20,1,1,3,3,12,15,75.0
2019,19-MS-111,Region XII Commission on Mental Health & Retardation (dba Pine Belt Mental Health),Region XII Commission on Mental Health & Retardation (dba Pine Belt Mental Health),48,0,5,3,3,37,40,83.3
2019,19-NC-114,Asheville-Buncombe Community Christian Ministry Inc.,Asheville-Buncombe Community Christian Ministry Inc,24,3,5,4,1,11,12,50.0
2019,19-NC-237,Volunteers of America of the Carolinas Inc.,Volunteers of America of the Carolinas Inc,89,5,5,8,20,51,71,79.8
2019,19-NV-056,United States Veterans Initiative,United States Veterans Initiative,83,11,5,7,23,37,60,72.3
2019,19-NV-118,The Salvation Army a California Corporation,The Salvation Army a California Corporation,21,6,1,1,4,9,13,61.9
2019,19-OH-263,Talbert House Inc.,Talbert House Inc.,22,0,2,2,7,11,18,81.8
2019,19-OH-269,Volunteers of America of Greater Ohio,Volunteers of America of Greater Ohio,77,9,7,16,23,22,45,58.4
2019,19-OR-128,Access,Access,38,7,2,3,4,22,26,68.4
2019,19-TX-140,The Salvation Army a Georgia Corporation,The Salvation Army a Georgia Corporation,36,0,2,1,7,26,33,91.7
2019,19-TX-288,United States Veterans Initiative,United States Veterans Initiative,11,1,0,1,2,7,9,81.8
2019,19-TX-290,Baker Ripley,Baker Ripley,58,15,4,12,12,15,27,46.6
